Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,087113,2023,10,03,5.1
IDCJAC0016,087113,2023,10,04,10.5
IDCJAC0016,087113,2023,10,05,13.5
IDCJAC0016,087113,2023,10,06,19.8
IDCJAC0016,087113,2023,10,07,11.1
IDCJAC0016,087113,2023,10,08,15.0
IDCJAC0016,087113,2023,10,09,18.2
IDCJAC0016,087113,2023,10,10,19.1
IDCJAC0016,087113,2023,10,11,23.3
IDCJAC0016,087113,2023,10,12,9.1
IDCJAC0016,087113,2023,10,13,14.5
IDCJAC0016,087113,2023,10,14,15.9
IDCJAC0016,087113,2023,10,15,11.3
IDCJAC0016,087113,2023,10,16,23.2
IDCJAC0016,087113,2023,10,17,24.2
IDCJAC0016,087113,2023,10,18,24.8
IDCJAC0016,087113,2023,10,19,24.7
IDCJAC0016,087113,2023,10,20,22.5
IDCJAC0016,087113,2023,10,21,11.2
IDCJAC0016,087113,2023,10,22,10.3
IDCJAC0016,087113,2023,10,23,17.0
IDCJAC0016,087113,2023,10,24,19.6
IDCJAC0016,087113,2023,10,25,18.8
IDCJAC0016,087113,2023,10,26,17.4
IDCJAC0016,087113,2023,10,27,25.9
IDCJAC0016,087113,2023,10,28,20.3
IDCJAC0016,087113,2023,10,29,26.0
IDCJAC0016,087113,2023,10,30,17.0
IDCJAC0016,087113,2023,10,31,19.1
IDCJAC0016,087113,2023,11,01,16.9
IDCJAC0016,087113,2023,11,02,16.4
IDCJAC0016,087113,2023,11,03,14.2
IDCJAC0016,087113,2023,11,04,23.5
IDCJAC0016,087113,2023,11,05,26.7
IDCJAC0016,087113,2023,11,06,22.2
IDCJAC0016,087113,2023,11,07,21.8
IDCJAC0016,087113,2023,11,08,23.5
IDCJAC0016,087113,2023,11,09,22.2
IDCJAC0016,087113,2023,11,10,28.1
IDCJAC0016,087113,2023,11,11,24.4
IDCJAC0016,087113,2023,11,12,25.0
IDCJAC0016,087113,2023,11,13,28.2
IDCJAC0016,087113,2023,11,14,13.5
IDCJAC0016,087113,2023,11,15,24.7
IDCJAC0016,087113,2023,11,16,21.3
IDCJAC0016,087113,2023,11,17,19.9
IDCJAC0016,087113,2023,11,18,26.6
IDCJAC0016,087113,2023,11,19,26.6
IDCJAC0016,087113,2023,11,20,11.5
IDCJAC0016,087113,2023,11,21,23.6
IDCJAC0016,087113,2023,11,22,27.2
IDCJAC0016,087113,2023,11,23,21.4
IDCJAC0016,087113,2023,11,24,12.7
IDCJAC0016,087113,2023,11,25,17.4
IDCJAC0016,087113,2023,11,26,13.9
IDCJAC0016,087113,2023,11,27,20.5
IDCJAC0016,087113,2023,11,28,17.8
IDCJAC0016,087113,2023,11,29,5.8
IDCJAC0016,087113,2023,11,30,12.0
IDCJAC0016,087113,2023,12,01,17.4
IDCJAC0016,087113,2023,12,02,12.2
IDCJAC0016,087113,2023,12,03,30.9
IDCJAC0016,087113,2023,12,04,29.9
IDCJAC0016,087113,2023,12,05,29.5
IDCJAC0016,087113,2023,12,06,31.2
IDCJAC0016,087113,2023,12,07,25.9
IDCJAC0016,087113,2023,12,08,19.3
IDCJAC0016,087113,2023,12,09,4.3
IDCJAC0016,087113,2023,12,10,10.9
IDCJAC0016,087113,2023,12,11,5.1
IDCJAC0016,087113,2023,12,12,27.3
IDCJAC0016,087113,2023,12,13,14.5
IDCJAC0016,087113,2023,12,14,22.3
IDCJAC0016,087113,2023,12,15,27.4
IDCJAC0016,087113,2023,12,16,22.5
IDCJAC0016,087113,2023,12,17,32.0
IDCJAC0016,087113,2023,12,18,8.3
IDCJAC0016,087113,2023,12,19,25.1
IDCJAC0016,087113,2023,12,20,23.3
IDCJAC0016,087113,2023,12,21,30.9
IDCJAC0016,087113,2023,12,22,32.0
IDCJAC0016,087113,2023,12,23,32.1
IDCJAC0016,087113,2023,12,24,21.3
IDCJAC0016,087113,2023,12,25,7.3
IDCJAC0016,087113,2023,12,26,14.5
IDCJAC0016,087113,2023,12,27,25.1
IDCJAC0016,087113,2023,12,28,20.6
IDCJAC0016,087113,2023,12,29,31.1
IDCJAC0016,087113,2023,12,30,23.8
IDCJAC0016,087113,2023,12,31,30.1
